yyyymm,Y,LY,DY,EP,DE,b/m,tbl,dfy,lty,dfr,ntis,infl,ltr,TMS,DP,svar
192808,0.022409,0.0702,3.2408,-2.7837,-0.4491,0.3240297825,0.0436,-0.4667,0.0341,0.0007,0.0573989063,0.0000000000,0.0076,-0.0360,-3.2327,0.0012293169
192809,0.013839,0.0224,3.2564,-2.7904,-0.4579,0.3281658101,0.0457,-0.4820,0.0346,0.0071,0.0279800569,0.0116959064,-0.0041,-0.0498,-3.2483,0.0006504642
192810,0.122975,0.0138,3.2627,-2.7875,-0.4672,0.3089308376,0.0470,-0.4983,0.0336,-0.0075,0.0340193716,-0.0057803468,0.0158,-0.0312,-3.2547,0.0006788455
192811,0.006232,0.1230,3.3679,-2.8844,-0.4757,0.2655259391,0.0426,-0.5137,0.0338,-0.0039,0.0383720096,0.0000000000,0.0003,-0.0423,-3.3601,0.0015232957
192812,0.055473,0.0062,3.3630,-2.8704,-0.4846,0.2596666667,0.0426,-0.5300,0.0340,0.0080,0.0630687383,-0.0058139535,0.0004,-0.0422,-3.3551,0.0040774700
192901,-0.004874,0.0555,3.4106,-2.9123,-0.4866,0.2453466033,0.0466,-0.5390,0.0349,0.0133,0.0784486564,0.0000000000,-0.0090,-0.0556,-3.3989,0.0017008226
192902,0.000154,-0.0049,3.3930,-2.8930,-0.4885,0.2454238997,0.0439,-0.5480,0.0363,0.0187,0.0717831373,0.0000000000,-0.0157,-0.0596,-3.3815,0.0026701165
192903,0.019559,0.0002,3.3791,-2.8766,-0.4911,0.2723004695,0.0460,-0.5580,0.0377,0.0057,0.0798045664,-0.0058479532,-0.0144,-0.0604,-3.3677,0.0036114071
192904,-0.041281,0.0196,3.3836,-2.8794,-0.4929,0.2633969119,0.0480,-0.5670,0.0358,-0.0256,0.0993226329,-0.0058823529,0.0275,-0.0205,-3.3723,0.0023043615
192905,0.112294,-0.0413,3.3286,-2.8227,-0.4947,0.2827746209,0.0509,-0.5760,0.0373,0.0207,0.1179866681,0.0059171598,-0.0162,-0.0671,-3.3174,0.0047598084
192906,0.050014,0.1123,3.4239,-2.9164,-0.4964,0.2535805819,0.0480,-0.5850,0.0367,-0.0156,0.1161973604,0.0058823529,0.0110,-0.0370,-3.4129,0.0013403801
192907,0.094871,0.0500,3.4575,-2.9484,-0.4981,0.2418751798,0.0455,-0.5940,0.0369,0.0020,0.1106879396,0.0116959064,0.0000,-0.0455,-3.4465,0.0012818127
192908,-0.050941,0.0949,3.5400,-3.0294,-0.4998,0.2211237609,0.0470,-0.6030,0.0375,0.0054,0.1152773150,0.0000000000,-0.0034,-0.0504,-3.5292,0.0033821020
192909,-0.186150,-0.0509,3.4791,-2.9670,-0.5014,0.2448682487,0.0458,-0.6120,0.0375,0.0007,0.1213901177,0.0000000000,0.0027,-0.0431,-3.4684,0.0033922824
192910,-0.125359,-0.1862,3.2462,-2.7319,-0.5036,0.3074841870,0.0437,-0.6220,0.0347,-0.0309,0.1596118360,0.0000000000,0.0382,-0.0055,-3.2356,0.0535075427
192911,0.027753,-0.1254,3.0920,-2.5763,-0.5052,0.3519564763,0.0347,-0.6310,0.0331,-0.0254,0.1770397921,0.0000000000,0.0236,-0.0111,-3.0815,0.0364487459
192912,0.059632,0.0278,3.1065,-2.5895,-0.5067,0.3384578236,0.0303,-0.6400,0.0340,0.0281,0.1635221721,-0.0057803468,-0.0089,-0.0392,-3.0962,0.0102146296
193001,0.026041,0.0596,3.1568,-2.6836,-0.4724,0.3148162012,0.0339,-0.5862,0.0347,0.0116,0.1533141989,-0.0058139535,-0.0057,-0.0396,-3.1560,0.0014331608
193002,0.072348,0.0260,3.1772,-2.7401,-0.4362,0.3102061894,0.0336,-0.5313,0.0339,-0.0057,0.1592556286,-0.0058479532,0.0129,-0.0207,-3.1763,0.0017247059
193003,-0.013938,0.0723,3.2532,-2.8529,-0.3994,0.3191191891,0.0295,-0.4775,0.0335,0.0055,0.1454961766,-0.0058823529,0.0083,-0.0212,-3.2523,0.0015040436
193004,-0.011148,-0.0139,3.2428,-2.8805,-0.3614,0.3269705977,0.0300,-0.4237,0.0338,0.0100,0.1296808921,0.0059171598,-0.0016,-0.0316,-3.2419,0.0019338617
193005,-0.155715,-0.0111,3.2253,-2.9034,-0.3210,0.3319155124,0.0241,-0.3688,0.0329,-0.0082,0.1249268071,-0.0058823529,0.0139,-0.0102,-3.2244,0.0046934394
193006,0.038713,-0.1557,3.0446,-2.7638,-0.2800,0.4033754529,0.0189,-0.3150,0.0328,0.0059,0.1310010449,-0.0059171598,0.0051,-0.0138,-3.0438,0.0144478616
193007,0.011266,0.0387,3.0798,-2.8418,-0.2372,0.3901876149,0.0183,-0.2612,0.0327,0.0022,0.1405508333,-0.0119047619,0.0034,-0.0149,-3.0790,0.0049204458
193008,-0.123549,0.0113,3.0865,-2.8939,-0.1916,0.3797521005,0.0153,-0.2063,0.0328,0.0123,0.1214949540,-0.0060240964,0.0013,-0.0140,-3.0856,0.0040499265
193009,-0.083680,-0.1235,2.9462,-2.8004,-0.1450,0.4455832113,0.0177,-0.1525,0.0324,0.0034,0.1272003762,0.0060606061,0.0074,-0.0103,-2.9454,0.0037384063
193010,-0.019736,-0.0837,2.8524,-2.7555,-0.0961,0.4979547314,0.0174,-0.0987,0.0324,0.0019,0.1294913580,-0.0060240964,0.0035,-0.0139,-2.8516,0.0128766664
193011,-0.071479,-0.0197,2.8295,-2.7849,-0.0438,0.5046708308,0.0140,-0.0438,0.0322,-0.0054,0.1377528675,-0.0060606061,0.0042,-0.0098,-2.8286,0.0071600721
193012,0.059527,-0.0715,2.7515,-2.7609,0.0103,0.5547454126,0.0148,0.0100,0.0330,-0.0020,0.1138858911,-0.0182926829,-0.0070,-0.0218,-2.7507,0.0081663293
193101,0.110943,0.0595,2.7984,-2.8401,0.0280,0.5391520019,0.0124,0.0267,0.0343,0.0324,0.0897221289,-0.0124223602,-0.0121,-0.0245,-2.8121,0.0052243116
193102,-0.068939,0.1109,2.9203,-2.9808,0.0465,0.4796679626,0.0106,0.0433,0.0338,-0.0017,0.0825435750,-0.0125786164,0.0085,-0.0021,-2.9343,0.0028846263
193103,-0.092955,-0.0689,2.8626,-2.9426,0.0660,0.5291250870,0.0138,0.0600,0.0332,-0.0010,0.0739801542,-0.0063694268,0.0104,-0.0034,-2.8767,0.0041687518
193104,-0.137674,-0.0930,2.7759,-2.8766,0.0864,0.6032144983,0.0149,0.0767,0.0327,-0.0019,0.0777810128,-0.0064102564,0.0086,-0.0063,-2.7902,0.0067092657
193105,0.146492,-0.1377,2.6426,-2.7649,0.1078,0.7099486221,0.0088,0.0933,0.0317,-0.0011,0.0713815383,-0.0129032258,0.0145,0.0057,-2.6572,0.0069106954
193106,-0.075465,0.1465,2.7873,-2.9324,0.1304,0.6072712745,0.0055,0.1100,0.0319,0.0048,0.0637585974,-0.0130718954,0.0004,-0.0051,-2.8020,0.0233329496
193107,0.007779,-0.0755,2.7249,-2.8940,0.1542,0.6736095723,0.0041,0.1267,0.0325,0.0094,0.0340073776,0.0000000000,-0.0042,-0.0083,-2.7398,0.0070392564
193108,-0.287461,0.0078,2.7493,-2.9437,0.1792,0.6541854960,0.0042,0.1433,0.0326,0.0000,0.0201582798,0.0000000000,0.0012,-0.0030,-2.7645,0.0045420398
193109,0.076738,-0.2875,2.4086,-2.6298,0.2059,0.9440016561,0.0045,0.1600,0.0353,0.0267,0.0303718875,-0.0066225166,-0.0281,-0.0326,-2.4240,0.0234589946
193110,-0.100909,0.0767,2.5051,-2.7547,0.2341,0.8771761085,0.0170,0.1767,0.0385,-0.0033,0.0112711864,-0.0066666667,-0.0330,-0.0500,-2.5206,0.0425019555
193111,-0.137557,-0.1009,2.4177,-2.6976,0.2639,0.9715564078,0.0177,0.1933,0.0385,-0.0216,0.0033982262,-0.0134228188,0.0027,-0.0150,-2.4337,0.0114345440
193112,-0.018803,-0.1376,2.2767,-2.5886,0.2958,1.1707317073,0.0241,0.2100,0.0407,-0.0066,-0.0129210013,-0.0068027211,-0.0220,-0.0461,-2.2928,0.0211953493
193201,0.053581,-0.0188,2.2640,-2.5877,0.2905,1.1913781842,0.0248,0.2000,0.0390,-0.0086,-0.0115774352,-0.0205479452,0.0034,-0.0214,-2.2971,0.0173767845
193202,-0.118907,0.0536,2.3466,-2.6655,0.2848,1.1198428291,0.0242,0.1900,0.0367,-0.0651,-0.0157276692,-0.0139860140,0.0413,0.0171,-2.3807,0.0267152506
193203,-0.205295,-0.1189,2.2549,-2.5691,0.2787,1.1858624454,0.0225,0.1800,0.0370,0.0374,-0.0084155117,-0.0070921986,-0.0018,-0.0243,-2.2903,0.0134089221
193204,-0.232123,-0.2053,2.0641,-2.3731,0.2722,1.5537278741,0.0111,0.1700,0.0336,-0.0780,-0.0154746792,-0.0071428571,0.0604,0.0493,-2.1009,0.0198514127
193205,0.002768,-0.2321,1.8352,-2.1385,0.2653,1.9423334823,0.0031,0.1600,0.0349,0.0295,-0.0340508050,-0.0143884892,-0.0188,-0.0219,-1.8732,0.0231837923
193206,0.391838,0.0028,1.8643,-2.1617,0.2578,2.0284780579,0.0034,0.1500,0.0347,-0.0074,-0.0406883713,-0.0072992701,0.0065,0.0031,-1.9039,0.0343025832
193207,0.401979,0.3918,2.2238,-2.5149,0.2498,1.6125440713,0.0022,0.1400,0.0320,-0.0438,-0.0291761361,0.0000000000,0.0481,0.0459,-2.2651,0.0201105785
193208,-0.029526,0.4020,2.5839,-2.8679,0.2411,1.1878075451,0.0014,0.1300,0.0321,0.0433,-0.0150636875,-0.0073529412,0.0003,-0.0011,-2.6268,0.0400193059
193209,-0.142069,-0.0295,2.5891,-2.8659,0.2318,1.2143655674,0.0003,0.1200,0.0319,0.0244,0.0007043780,-0.0074074074,0.0057,0.0054,-2.6341,0.0432985662
193210,-0.052228,-0.1421,2.4849,-2.7537,0.2217,1.4038772213,0.0001,0.1100,0.0322,0.0091,-0.0028741334,-0.0074626866,-0.0017,-0.0018,-2.5320,0.0356447585
193211,0.061569,-0.0522,2.4713,-2.7311,0.2105,1.5421472937,0.0001,0.1000,0.0322,0.0041,-0.0033221508,-0.0075187970,0.0032,0.0031,-2.5206,0.0233166031
193212,0.013938,0.0616,2.5712,-2.8217,0.1985,1.4420843014,0.0004,0.0900,0.0315,0.0008,-0.0050324799,-0.0075757576,0.0131,0.0127,-2.6232,0.0102230989
193301,-0.179558,0.0139,2.6304,-2.8228,0.1823,1.4269293924,0.0007,0.0825,0.0308,0.0399,-0.0064907127,-0.0152671756,0.0148,0.0141,-2.6405,0.0059166089
193302,0.038627,-0.1796,2.4366,-2.6129,0.1661,1.6909904651,0.0001,0.0750,0.0325,-0.0265,-0.0058178234,-0.0155038760,-0.0258,-0.0259,-2.4468,0.0156669282
193303,0.414312,0.0386,2.4798,-2.6399,0.1499,1.4765342960,0.0134,0.0675,0.0321,-0.0050,-0.0218838100,-0.0078740157,0.0097,-0.0037,-2.4900,0.0374541110
193304,0.174816,0.4143,2.8423,-2.9862,0.1335,1.1190150479,0.0045,0.0600,0.0325,-0.0063,-0.0063692975,0.0000000000,-0.0032,-0.0077,-2.8526,0.0291512255
193305,0.137498,0.1748,2.9999,-3.1275,0.1171,0.9283849733,0.0029,0.0525,0.0308,0.0285,-0.0030016427,0.0000000000,0.0303,0.0274,-3.0104,0.0119638328
193306,-0.084736,0.1375,3.1341,-3.2453,0.1006,0.8335031588,0.0007,0.0450,0.0306,0.0140,0.0007609174,0.0079365079,0.0050,0.0043,-3.1447,0.0198193625
193307,0.123272,-0.0847,3.0526,-3.1474,0.0841,0.9011788036,0.0019,0.0375,0.0309,0.0178,0.0027134841,0.0314960630,-0.0017,-0.0036,-3.0633,0.0328680974
193308,-0.118045,0.1233,3.1718,-3.2500,0.0674,0.7987501221,0.0001,0.0300,0.0308,0.0049,0.0021472240,0.0076335878,0.0044,0.0043,-3.1826,0.0118789641
193309,-0.090623,-0.1180,3.0620,-3.1236,0.0507,0.8679966044,0.0004,0.0225,0.0308,-0.0037,-0.0004584901,0.0000000000,0.0023,0.0019,-3.0729,0.0142499091
193310,0.108553,-0.0906,2.9802,-3.0252,0.0339,0.9278584392,0.0009,0.0150,0.0315,0.0131,0.0034629660,0.0000000000,-0.0091,-0.0100,-2.9913,0.0276757704
193311,0.026694,0.1086,3.0890,-3.1172,0.0170,0.8335031588,0.0022,0.0075,0.0327,-0.0099,0.0059234774,0.0000000000,-0.0149,-0.0171,-3.1002,0.0095815761
193312,0.115033,0.0267,3.1222,-3.1335,0.0000,0.8290260464,0.0029,0.0000,0.0336,0.0370,0.0061958281,0.0000000000,-0.0113,-0.0142,-3.1335,0.0055905699
193401,-0.032840,0.1150,3.2342,-3.2247,-0.0077,0.7629173662,0.0072,-0.0034,0.0321,0.0000,0.0035583231,0.0000000000,0.0257,0.0185,-3.2324,0.0066389099
193402,0.005355,-0.0328,3.1950,-3.1781,-0.0148,0.7906437270,0.0062,-0.0066,0.0317,0.0065,0.0055949443,0.0075757576,0.0081,0.0019,-3.1930,0.0055672847
193403,-0.025490,0.0054,3.1920,-3.1679,-0.0223,0.8025122121,0.0024,-0.0100,0.0307,-0.0010,0.0096063281,0.0000000000,0.0197,0.0173,-3.1902,0.0063725246
193404,-0.078497,-0.0255,3.1629,-3.1313,-0.0298,0.8010747338,0.0015,-0.0134,0.0300,-0.0022,0.0078287967,0.0000000000,0.0126,0.0111,-3.1611,0.0018991874
193405,0.024080,-0.0785,3.0763,-3.0376,-0.0367,0.8563829787,0.0016,-0.0166,0.0292,-0.0041,0.0076523036,0.0000000000,0.0131,0.0115,-3.0743,0.0073632004
193406,-0.119846,0.0241,3.0949,-3.0491,-0.0440,0.8407310705,0.0015,-0.0200,0.0289,0.0091,0.0059827800,0.0075187970,0.0067,0.0052,-3.0931,0.0068946450
193407,0.058650,-0.1198,2.9707,-2.9177,-0.0512,0.9142532652,0.0015,-0.0234,0.0288,0.0007,0.0029078413,0.0000000000,0.0040,0.0025,-2.9689,0.0115313309
193408,-0.000216,0.0587,3.0216,-2.9618,-0.0578,0.8668964032,0.0019,-0.0266,0.0299,0.0165,0.0199569035,0.0000000000,-0.0118,-0.0137,-3.0196,0.0065014472
193409,-0.032663,-0.0002,3.0141,-2.9475,-0.0649,0.8703643637,0.0021,-0.0300,0.0310,0.0085,0.0194390172,0.0149253731,-0.0146,-0.0167,-3.0124,0.0048308186
193410,0.086059,-0.0327,2.9800,-2.9063,-0.0719,0.8622536418,0.0027,-0.0334,0.0300,-0.0080,0.0238972714,-0.0073529412,0.0182,0.0155,-2.9782,0.0043581610
193411,-0.000681,0.0861,3.0578,-2.9775,-0.0783,0.7820089372,0.0025,-0.0366,0.0299,0.0092,0.0207110385,0.0000000000,0.0037,0.0012,-3.0558,0.0020253052
193412,-0.042368,-0.0007,3.0516,-2.9646,-0.0852,0.7737408689,0.0023,-0.0400,0.0293,-0.0011,0.0208127157,-0.0074074074,0.0112,0.0089,-3.0498,0.0026089456
193501,-0.036840,-0.0424,3.0068,-2.7704,-0.2364,0.7916215950,0.0020,-0.1200,0.0281,0.0029,0.0209974293,0.0149253731,0.0182,0.0162,-3.0068,0.0022136038
193502,-0.031454,-0.0368,2.9664,-2.5987,-0.3677,0.7862863841,0.0019,-0.2000,0.0275,0.0049,0.0147086415,0.0073529412,0.0092,0.0073,-2.9664,0.0032799819
193503,0.096493,-0.0315,2.9350,-2.4512,-0.4838,0.8007541179,0.0015,-0.2800,0.0274,0.0002,0.0120459559,0.0000000000,0.0041,0.0026,-2.9350,0.0039728617
193504,0.038135,0.0965,3.0264,-2.5067,-0.5271,0.7373229785,0.0015,-0.3100,0.0269,0.0033,0.0190936879,0.0072992701,0.0079,0.0064,-3.0338,0.0031621685
193505,0.070533,0.0381,3.0656,-2.5039,-0.5692,0.7293926247,0.0015,-0.3400,0.0276,0.0099,0.0192980407,0.0000000000,-0.0057,-0.0072,-3.0731,0.0028776617
193506,0.083814,0.0705,3.1388,-2.5360,-0.6103,0.6818181818,0.0015,-0.3700,0.0270,0.0020,0.0193439766,-0.0072463768,0.0092,0.0077,-3.1463,0.0028104575
193507,0.026569,0.0838,3.2261,-2.6367,-0.5895,0.6393091975,0.0015,-0.3533,0.0268,0.0065,0.0174097747,0.0000000000,0.0046,0.0031,-3.2261,0.0016800484
193508,0.025526,0.0266,3.2476,-2.6793,-0.5682,0.6336866902,0.0016,-0.3367,0.0281,0.0091,0.0049816151,0.0000000000,-0.0133,-0.0149,-3.2476,0.0037749859
193509,0.071803,0.0255,3.2711,-2.7246,-0.5465,0.6117343845,0.0020,-0.3200,0.0282,-0.0009,0.0080266211,0.0000000000,0.0009,-0.0011,-3.2711,0.0024288238
193510,0.051943,0.0718,3.3435,-2.7970,-0.5241,0.5775010734,0.0020,-0.3100,0.0279,-0.0019,0.0029507271,0.0000000000,0.0061,0.0041,-3.3210,0.0032591933
193511,0.039887,0.0519,3.3596,-2.8355,-0.5021,0.5669523676,0.0016,-0.3000,0.0280,0.0059,0.0022194292,0.0072992701,0.0010,-0.0006,-3.3376,0.0031496826
193512,0.071832,0.0399,3.3740,-2.8719,-0.4806,0.5599111913,0.0015,-0.2900,0.0276,0.0013,0.0086888346,0.0000000000,0.0070,0.0055,-3.3525,0.0028973664
193601,0.022461,0.0718,3.4160,-2.9223,-0.4726,0.5398354405,0.0020,-0.2900,0.0285,0.0027,0.0089077281,0.0000000000,0.0055,0.0035,-3.3949,0.0018671591
193602,0.024029,0.0225,3.4116,-2.9261,-0.4649,0.5290762473,0.0020,-0.2900,0.0281,-0.0027,0.0137604535,0.0000000000,0.0081,0.0061,-3.3909,0.0022225935
193603,-0.077588,0.0240,3.4161,-2.9384,-0.4574,0.5276960471,0.0020,-0.2900,0.0275,-0.0024,0.0134560371,-0.0072463768,0.0106,0.0086,-3.3958,0.0050044798
193604,0.053106,-0.0776,3.3156,-2.8209,-0.4619,0.5663485961,0.0020,-0.3033,0.0274,-0.0009,0.0192528710,0.0000000000,0.0035,0.0015,-3.2828,0.0057607721
193605,0.032542,0.0531,3.3276,-2.8297,-0.4661,0.5404874214,0.0020,-0.3167,0.0273,0.0000,0.0186275943,0.0000000000,0.0040,0.0020,-3.2958,0.0029079379
193606,0.073442,0.0325,3.3259,-2.8252,-0.4700,0.5231783880,0.0020,-0.3300,0.0273,0.0061,0.0208134501,0.0072992701,0.0021,0.0001,-3.2952,0.0015684951
193607,0.014124,0.0734,3.3610,-2.8685,-0.4568,0.5004246027,0.0015,-0.3300,0.0271,-0.0049,0.0217469882,0.0072463768,0.0060,0.0045,-3.3253,0.0015685530
193608,0.004817,0.0141,3.3341,-2.8553,-0.4443,0.4961212340,0.0020,-0.3300,0.0264,-0.0044,0.0196660344,0.0071942446,0.0111,0.0091,-3.2996,0.0026195074
193609,0.076281,0.0048,3.3008,-2.8351,-0.4324,0.4915981409,0.0016,-0.3300,0.0268,0.0098,0.0213984830,0.0000000000,-0.0031,-0.0047,-3.2675,0.0011837587
193610,0.010666,0.0763,3.3398,-2.8794,-0.4020,0.4657070279,0.0013,-0.3200,0.0269,0.0019,0.0218042270,0.0000000000,0.0006,-0.0007,-3.2814,0.0022244051
193611,-0.003830,0.0107,3.2855,-2.8562,-0.3741,0.4502783539,0.0011,-0.3100,0.0257,-0.0096,0.0228407620,0.0000000000,0.0205,0.0194,-3.2303,0.0028304004
193612,0.036648,-0.0038,3.2245,-2.8239,-0.3483,0.4585881045,0.0012,-0.3000,0.0255,-0.0028,0.0252247216,0.0000000000,0.0038,0.0026,-3.1722,0.0014983745
193701,0.018483,0.0366,3.2094,-2.8321,-0.3635,0.4465735628,0.0017,-0.3200,0.0258,0.0037,0.0250032496,0.0071428571,-0.0013,-0.0030,-3.1956,0.0015725492
193702,-0.003511,0.0185,3.2101,-2.8184,-0.3781,0.4407757653,0.0015,-0.3400,0.0253,-0.0132,0.0252076774,0.0000000000,0.0086,0.0071,-3.1965,0.0013067889
193703,-0.080646,-0.0035,3.1870,-2.7816,-0.3920,0.4586663806,0.0038,-0.3600,0.0285,0.0297,0.0335068293,0.0070921986,-0.0411,-0.0449,-3.1736,0.0031144795
193704,-0.005699,-0.0806,3.0868,-2.6769,-0.3707,0.4906180065,0.0056,-0.3500,0.0284,0.0029,0.0281072644,0.0070422535,0.0039,-0.0017,-3.0476,0.0054667794
193705,-0.053803,-0.0057,3.0372,-2.6489,-0.3505,0.4893824051,0.0041,-0.3400,0.0282,-0.0013,0.0282780631,0.0069930070,0.0053,0.0012,-2.9994,0.0035930723
193706,0.098991,-0.0538,2.9451,-2.5774,-0.3314,0.5049610206,0.0036,-0.3300,0.0285,0.0071,0.0312661665,0.0000000000,-0.0018,-0.0054,-2.9087,0.0029841706
193707,-0.051183,0.0990,3.0064,-2.6609,-0.3737,0.4646486604,0.0028,-0.3700,0.0277,-0.0099,0.0272249320,0.0069444444,0.0138,0.0110,-3.0346,0.0029822171
193708,-0.139610,-0.0512,2.9776,-2.5900,-0.4166,0.4819345020,0.0029,-0.4100,0.0286,0.0087,0.0310644128,0.0000000000,-0.0104,-0.0133,-3.0066,0.0021407944
193709,-0.102722,-0.1396,2.8533,-2.4229,-0.4602,0.5531474413,0.0031,-0.4500,0.0284,-0.0020,0.0358467256,0.0068965517,0.0045,0.0014,-2.8831,0.0158211464
193710,-0.084289,-0.1027,2.7758,-2.3405,-0.4224,0.6174176776,0.0020,-0.4100,0.0283,0.0025,0.0409585636,0.0000000000,0.0042,0.0022,-2.7629,0.0317222407
193711,-0.045828,-0.0843,2.6563,-2.2594,-0.3841,0.6924198251,0.0009,-0.3700,0.0278,-0.0029,0.0420308074,-0.0068493151,0.0096,0.0087,-2.6436,0.0219733915
193712,0.012163,-0.0458,2.5918,-2.2339,-0.3454,0.7074886223,0.0011,-0.3300,0.0273,-0.0015,0.0317754000,-0.0068965517,0.0082,0.0071,-2.5793,0.0069549625
193801,0.065757,0.0122,2.5925,-2.2954,-0.3054,0.7015672438,0.0010,-0.2833,0.0271,-0.0019,0.0388017219,-0.0138888889,0.0057,0.0047,-2.6008,0.0097512413
193802,-0.254106,0.0658,2.6598,-2.4053,-0.2630,0.6595186671,0.0008,-0.2367,0.0268,-0.0042,0.0322477805,-0.0070422535,0.0052,0.0044,-2.6683,0.0077724907
193803,0.142667,-0.2541,2.3800,-2.1705,-0.2180,0.8923698838,0.0008,-0.1900,0.0273,-0.0050,0.0338452494,0.0000000000,-0.0037,-0.0045,-2.3885,0.0150679420
193804,-0.039973,0.1427,2.5206,-2.3738,-0.1640,0.7907934802,0.0009,-0.1367,0.0259,-0.0072,0.0271608523,0.0070921986,0.0210,0.0201,-2.5378,0.0188927247
193805,0.253519,-0.0400,2.4925,-2.4051,-0.1049,0.8195656209,0.0005,-0.0833,0.0257,-0.0034,0.0299773272,-0.0070422535,0.0044,0.0039,-2.5100,0.0076514340
193806,0.074738,0.2535,2.7308,-2.7089,-0.0397,0.6595458620,0.0005,-0.0300,0.0259,0.0091,0.0167445455,0.0000000000,0.0004,-0.0001,-2.7487,0.0118093088
193807,-0.025901,0.0747,2.8188,-2.8462,-0.0093,0.6253541076,0.0007,-0.0067,0.0257,0.0023,0.0170555147,0.0000000000,0.0043,0.0036,-2.8555,0.0068298756
193808,0.016932,-0.0259,2.8277,-2.8904,0.0246,0.6340202484,0.0006,0.0167,0.0259,-0.0019,0.0143082728,0.0000000000,0.0000,-0.0006,-2.8658,0.0059815684
193809,0.078960,0.0169,2.8806,-2.9827,0.0625,0.6242488512,0.0008,0.0400,0.0259,0.0087,0.0118961742,0.0000000000,0.0022,0.0014,-2.9202,0.0170467064
